t,x,y,gap,dual
0.0,1.2999931176612374,1.2670734221282706e-05,0.29999311772298687,0.0
0.001,1.2999724832259492,5.0628857964595545e-05,0.2999724842118474,0.0
0.002,1.2999381162356238,0.00011377502942989154,0.2999381212146137,0.0
0.003,1.2998900382522511,0.00020199035745631583,0.2998900539459264,0.0
0.004,1.2998282659604952,0.0003151820526220045,0.29982830417312956,0.0
0.005,1.2997528232949018,0.0004532401965849151,0.29975290232018503,0.0
0.006,1.2996637288220017,0.0006160578914693774,0.2996638748318101,0.0
0.007,1.2995609992487895,0.0008035344198231272,0.29956124766633296,0.0
0.008,1.299444659259252,0.0010155690212037176,0.2994450561135049,0.0
0.009,1.2993147250723633,0.0012520462676183454,0.29931532832093044,0.0
0.01,1.299171219573703,0.0015128745923579149,0.29917210043864295,0.0
0.011,1.299014161273356,0.0017979363647305643,0.29901540551445804,0.0
0.012,1.2988435694488034,0.0021071231352457523,0.29884527864808286,0.0
0.013,1.2986594650682863,0.002440343030980832,0.2986617579206514,0.0
0.014,1.2984618696300174,0.0027974918216108068,0.298464883176889,0.0
0.015,1.2982508004798579,0.003178443805197474,0.298254691288121,0.0
0.016,1.2980262780672605,0.0035831366944562865,0.29803122359275935,0.0
0.017,1.2977883237254475,0.00401140941374261,0.29779452325997724,0.0
0.018,1.2975369558225638,0.0044631946851427275,0.29754463192295755,0.0
0.019,1.2972721948811485,0.004938382604034839,0.2972815944252414,0.0
0.02,1.2969940617303233,0.005436848592913558,0.2970054569994467,0.0
0.021,1.296702574536888,0.005958510612854091,0.29671626451560984,0.0
0.022,1.296397756546947,0.0065032549839816045,0.29641406792172087,0.0
0.023,1.2960796229425857,0.00707099319066622,0.29609891133034205,0.0
0.024,1.2957481958117691,0.007661572788530074,0.2957708465029798,0.0
0.025,1.295403498041262,0.00827494053880545,0.29542992762189146,0.0
0.026,1.2950455455299767,0.008910969447378613,0.2950762025354057,0.0
0.027,1.2946743589963394,0.009569555942473242,0.29470972509034565,0.0
0.028,1.2942899616039636,0.010250583474921058,0.294330552513679,0.0
0.029,1.293892369401671,0.010953970579787219,0.2939387362110051,0.0
0.03,1.293481603058305,0.011679594315787464,0.29353433289328024,0.0
0.031,1.293057683897747,0.012427367529763034,0.29311740122493357,0.0
0.032,1.2926206298989356,0.013197158542989524,0.292687997095173,0.0
0.033,1.2921704649943417,0.013988886365657663,0.2922461837999155,0.0
0.034,1.2917072044801883,0.014802434123209664,0.2917920166040642,0.0
0.035,1.2912308711913152,0.01563770448963197,0.29132555946174454,0.0
0.036,1.290741482665461,0.016494585297162426,0.29084687179291646,0.0
0.037,1.2902390634481637,0.017372961070065432,0.2903560208810345,0.0
0.038,1.2897236277905402,0.0182727567818384,0.289853065167347,0.0
0.039,1.2891951987297965,0.019193853717690362,0.28933807220933927,0.0
0.04,1.2886537962914706,0.020136130546620692,0.2888111073581767,0.0
0.041,1.2880994408235569,0.02109949159803865,0.2882722375319806,0.0
0.042,1.287532149527511,0.022083853553907105,0.2877215276039782,0.0
0.043,1.2869519453414568,0.02308908409148235,0.28715904822300176,0.0
0.044,1.2863588469363816,0.02411508578063721,0.2865848671788833,0.0
0.045,1.285752873512798,0.02516175118079925,0.28599905344790266,0.0
0.046,1.2851340467540053,0.02622899545052218,0.28540167975954867,0.0
0.047,1.2845023865985694,0.027316687684390367,0.28479281699559134,0.0
0.048,1.2838579095850875,0.028424733901627773,0.28417253416414767,0.0
0.049,1.283200642117926,0.029553027786038702,0.2835409106776381,0.0
0.05,1.282530595966146,0.03070146095338163,0.2828980120391291,0.0
0.051,1.2818477990795603,0.031869944397323595,0.28224392116359875,0.0
0.052,1.281152264405804,0.033058347590220666,0.28157870571319776,0.0
0.053,1.2804440191521858,0.03426658651923031,0.280902449499681,0.0
0.054,1.279723075849379,0.035494543824809835,0.2802152215556284,0.0
0.055,1.2789894589157131,0.03674213182783234,0.2795171043283331,0.0
0.056,1.2782431869992523,0.038009217298237,0.2788081739297845,0.0
0.057,1.2774842825100734,0.039295705280226204,0.2780885120028844,0.0
0.058,1.2767127610717546,0.04060151638215748,0.2773581946407959,0.0
0.059,1.2759286460957409,0.041926521606342304,0.27661730488886827,0.0
0.06,1.2751319551846563,0.04327062160712655,0.275865921571429,0.0
0.061,1.274322710925071,0.044633691447989926,0.27510412829372344,0.0
0.062,1.2735009307736158,0.046015662721750616,0.2743320061494916,0.0
0.063,1.2726666352102547,0.04741641561085663,0.2735496381558016,0.0
