dA,dB,K,regime,cost_solve,cost_nd,min_distance,strict,eps_scale,dua_res,width_slopes,width_labels,dual_shares,time_s,fail,t_lo,t_hi,width,interior_gap,n_components,dm_t_lo,dm_t_hi,dm_n_nodes,dm_mass,dm_edge_left,dm_edge_right,dm_interior,dm_interior_max_node,dm_max_share
1.34,1.34,200,arc,0.14076153592794513,140.76153592794512,0.9999245410091055,True,1.0,5.128385421546489e-07,0.19,ambiguous,0.14;0.14,0.06255984306335449,,0.375,0.615,0.24,0.0012805288732622433,1,0.54,0.595,12,3.089679764555853,0.22726611151071052,0.8741276894238679,1.9882859636212746,0.42054905906918305,0.13611412544873813
1.34,1.34,1000,arc,0.1407451989052026,140.74519890520259,0.9999225192117391,True,1.0,0.00011792727899224063,0.19,ambiguous,0.03;0.03,1.073227882385254,,0.377,0.621,0.244,0.0014469449541612,1,0.395,0.46,66,15.451500508450012,0.20703737841010422,0.034990847156994936,15.209472282882912,0.4048400881284558,0.026200697330790598
1.34,1.34,4000,arc,0.1383586028102598,138.3586028102598,0.999999964114103,True,1.0,1.1080304828491628e-08,0.19,ambiguous,0.10;0.10,37.784056186676025,,0.37625,0.62325,0.247,0.0014764317311450892,1,0.40175,0.4605,236,61.07693160209004,8.766496675574732,6.834837591040749,45.47559733547456,0.5318981256422766,0.10070874083671227
1.32,1.32,200,arc,0.13985830124238563,139.85830124238564,0.9999721986027227,True,1.0,1.7455346555950157e-06,0.19,ambiguous,0.17;0.18,0.0819387435913086,,0.37,0.62,0.25,0.0011713007992832924,1,0.555,0.595,9,3.141428812962805,0.47793086712614075,1.2934304644358623,1.3700674814008018,0.5346694832955875,0.17511058906355398
1.32,1.32,1000,arc,0.13982385028861422,139.8238502886142,0.9998979926955691,True,1.0,0.00010038814863469856,0.18,ambiguous,0.02;0.02,1.1127872467041016,,0.37,0.628,0.258,0.001480813542579229,1,0.386,0.464,79,15.72354211728204,0.17991121249597816,0.02246486997790918,15.521166034808152,0.3600486372129175,0.02289869766794985
1.32,1.32,4000,arc,0.13745037293130327,137.45037293130326,1.0000000264817706,True,1.0,1.1242405452428091e-08,0.18,ambiguous,0.20;0.21,26.837409019470215,,0.36975,0.62975,0.26,0.0014982208728022695,1,0.3995,0.44775,194,62.08119125198618,16.93504760128658,10.776949917704323,34.36919373299528,0.5476657612070763,0.20223007915637897
1.3,1.3,200,arc,0.13901416047886755,139.01416047886755,0.9999401618464886,True,1.0,1.5395502367960131e-06,0.18,ambiguous,0.14;0.14,0.08062601089477539,,0.36,0.63,0.27,0.0014417156945312204,1,0.55,0.605,12,3.200143402876879,0.22462975798044718,1.0069708853074304,1.9685427595890017,0.4368287737405588,0.13650287463613553
1.3,1.3,1000,arc,0.1390039746228678,139.0039746228678,0.9999577797560452,True,1.0,1.6432617659933868e-06,0.18,ambiguous,0.03;0.03,1.0577971935272217,,0.364,0.634,0.27,0.0014592760892029322,1,0.387,0.447,61,16.002991395996084,0.3384925754596223,0.028236959268428417,15.636261861268034,0.4728549110875148,0.02954790759968928
1.3,1.3,4000,arc,0.13659532555312293,136.59532555312293,1.0000000296548837,True,1.0,1.1431727750628541e-08,0.18,ambiguous,0.27;0.23;0.27,26.781620979309082,,0.3635,0.636,0.2725,0.0014902924943971385,1,0.39475,0.44525,203,59.47766633871297,21.496787864969352,3.4660775242625816,34.514800949481035,0.5606663475750838,0.27166206469236037
1.27,1.27,200,arc,0.13790760564083704,137.90760564083703,0.9999530568976314,True,1.0,1.4306914444305358e-06,0.17,ambiguous,0.14;0.16;0.14,0.0686790943145752,,0.35,0.64,0.29000000000000004,0.0013821138930261156,1,0.555,0.615,13,3.245797496849419,0.13996899029704862,0.9818717183088447,2.1239567882435257,0.44799974928966996,0.1380245532028808
1.27,1.27,1000,arc,0.1378935916741875,137.8935916741875,0.9999495886812515,True,1.0,4.7671297490821756e-05,0.17,ambiguous,0.03;0.03;0.03,1.0009610652923584,,0.353,0.645,0.29200000000000004,0.0014735100247789124,1,0.375,0.454,80,16.356794676453987,0.26535584639426,0.008371254819231224,16.083067575240495,0.43163902759460615,0.02638897388716148
1.27,1.27,4000,arc,0.13546646716342423,135.46646716342423,1.0000000146985923,True,1.0,1.1506946091542081e-08,0.17,ambiguous,0.03,23.574400901794434,,0.35225,0.64725,0.295,0.001484767829538658,1,0.37675,0.62275,985,130.39119306571595,5.530448265243167,5.317095789122396,119.5436490113504,0.5043573614500144,0.028315047635308278
