t,x,y,gap,dual
0.0,1.4997816143462628,0.0002902732583601206,0.49978164243654044,0.0
0.005,1.4991286655927547,0.0011552823869955126,0.49912911074373656,0.0
0.01,1.4980456052694144,0.002583423882266718,0.4980478328631439,0.0
0.015,1.4965368855272745,0.004563094706386023,0.49654384218337344,0.0
0.02,1.49460695644354,0.007082690476923658,0.4946237381875793,0.0
0.025,1.4922602707676544,0.010130608769162183,0.49229465754776025,0.0
0.03,1.489501280889253,0.013695248443238016,0.4895642401724898,0.0
0.035,1.4863344362499662,0.017764999438293953,0.4864405980689399,0.0
0.04,1.4827641905933897,0.022328265833216707,0.48293229662085,0.0
0.045,1.4787949932017086,0.027373439352026338,0.4790483214217176,0.0
0.05,1.4744312971091769,0.03288891903440156,0.4747980644448586,0.0
0.055,1.4696775532347304,0.038863102625465135,0.4701912974942075,0.0
0.06,1.4645382146862738,0.04528438256316196,0.4652381572906792,0.0
0.065,1.4590177310521395,0.05214115735518585,0.45994912233778606,0.0
0.07,1.453120555183355,0.059421825636967775,0.45433500310568475,0.0
0.075,1.4468511375656827,0.06711478227074444,0.4484069208183037,0.0
0.08,1.4402139309699717,0.07520842286858367,0.44217629776333456,0.0
0.085,1.4332133856548963,0.08369114570500483,0.4356548389810786,0.0
0.09,1.4258539551711464,0.09255134834108603,0.42885452498039656,0.0
0.095,1.4181400887824336,0.10177742300569192,0.4217875914655915,0.0
0.1,1.4100762383563779,0.11135777307551012,0.41446652544399565,0.0
0.105,1.4016668574436033,0.12128078799189929,0.4069040510254289,0.0
0.11,1.3929163959095823,0.13153486887609528,0.39911311469944843,0.0
0.115,1.3838293051660182,0.14210841142925779,0.39110687814963097,0.0
0.12,1.3744100385196214,0.15298981192066188,0.38289870798082193,0.0
0.125,1.3646630452788653,0.16416746741429822,0.3745021587858679,0.0
0.13,1.3545927780492963,0.17562977241318384,0.3659309687173862,0.0
0.135,1.3442036882742245,0.18736512756990625,0.3571990445764821,0.0
0.14,1.3335002272579664,0.19936192801066982,0.34832044946191454,0.0
0.145,1.3224868477693021,0.21160856689691626,0.3393093922268118,0.0
0.15,1.3111679991346294,0.22409344340743131,0.33018021084848015,0.0
0.155,1.299548135317976,0.23680495709414112,0.32094736598881446,0.0
0.16,1.2876317056843198,0.24973150015922763,0.31162541590779225,0.0
0.165,1.275423162936896,0.26286147043298425,0.302229011039973,0.0
0.17,1.2629269586980771,0.27618326434947776,0.29277287197446555,0.0
0.175,1.2501475435410738,0.28968528050167797,0.28327177260357317,0.0
0.18,1.2370893700397319,0.30335591420080416,0.27374052308384456,0.0
0.185,1.2237568895795388,0.31718356030727746,0.26419394703605015,0.0
0.19,1.2101545524443362,0.33115661772636656,0.25464686117876156,0.0
0.195,1.1962868114944807,0.3452634834913584,0.24511405436940548,0.0
0.2,1.1821581166557307,0.35949255142734615,0.2356102570417451,0.0
0.205,1.167772921562098,0.3738322211408468,0.22615012371926824,0.0
0.21,1.1531356764739822,0.38827088709101454,0.21674819503443343,0.0
0.215,1.138250832572874,0.4027969469860496,0.2074188744400689,0.0
0.22,1.1231228414679264,0.41739879681491787,0.19817639461371894,0.0
0.225,1.107756155561221,0.432064833155757,0.18903478512350014,0.0
0.23,1.0921552245860495,0.44678345372284156,0.1800078343431093,0.0
0.235,1.0763245015668574,0.4615430539325085,0.17110905696544365,0.0
0.24,1.0602684369855297,0.47633202972845096,0.16235165118520145,0.0
0.245,1.043991482225503,0.49113877971101216,0.1537484630089112,0.0
0.25,1.027498089354892,0.5059516985159169,0.14531194216208831,0.0
0.255,1.0107927098019946,0.5207591835609056,0.13705410137419594,0.0
0.26,0.9938797930194401,0.5355496336820217,0.1289864716236917,0.0
0.265,0.9767637932921531,0.5503114404107856,0.1211200601779765,0.0
