dA,dB,K,regime,cost_solve,cost_nd,min_distance,strict,eps_scale,dua_res,width_slopes,width_labels,dual_shares,time_s,fail,t_lo,t_hi,width,interior_gap,n_components,dm_t_lo,dm_t_hi,dm_n_nodes,dm_mass,dm_edge_left,dm_edge_right,dm_interior,dm_interior_max_node,dm_max_share
1.5,1.24,200,arc,0.14369856397685216,143.69856397685214,0.9998744566964681,True,1.0,1.377569267773154e-05,0.20,ambiguous,0.12;0.12,0.07589197158813477,,0.42,0.655,0.23500000000000004,0.0014779676188010349,1,0.435,0.5,14,3.268587348265283,0.774668371319778,0.13894019905168573,2.354978777893819,0.39024218143443495,0.11939169428699703
1.5,1.24,1000,arc,0.14369874854635162,143.69874854635162,0.99995044128916,True,1.0,2.9402681173685185e-06,0.19,ambiguous,0.03;0.03,1.1210589408874512,,0.422,0.659,0.23700000000000004,0.0014905957334763187,1,0.443,0.492,50,16.30287621713058,0.380602113548736,0.0755851435060164,15.846688960075829,0.5356667574107948,0.032857193434857344
1.5,1.24,4000,arc,0.14125721205204694,141.25721205204695,1.0000000429091196,True,1.0,1.1968416009061911e-08,0.19,ambiguous,0.15;0.16,26.862326860427856,,0.42125,0.66125,0.24,0.0014908899190926306,1,0.44725,0.49275,183,64.17505502403827,13.910851547608699,10.568398233760938,39.695805242668634,0.6150840028273317,0.1547913730566579
1.5,1.22,200,arc,0.14348154768625837,143.48154768625838,0.9998898784005019,True,1.0,5.672945205814628e-06,0.19,ambiguous,0.13;0.13,0.07158493995666504,,0.42,0.66,0.24000000000000005,0.0012112189331328072,1,0.435,0.495,13,3.313662220171706,0.7018057359351577,0.22515651433291287,2.3866999699036353,0.42828814357044065,0.12924918567839053
1.5,1.22,1000,arc,0.14346999843601263,143.46999843601262,0.9999205161453345,True,1.0,1.466528965377023e-06,0.19,ambiguous,0.03;0.03,0.8738119602203369,,0.422,0.667,0.24500000000000005,0.0014352237310892857,1,0.439,0.501,63,16.563332435222613,0.23797775697021806,0.03077122209377471,16.29458345615862,0.45225188488551504,0.027304401855980542
1.5,1.22,4000,arc,0.14344674236334382,143.44674236334382,0.9999733522464824,True,1.0,5.078479085084887e-05,0.19,ambiguous,0.01;0.01,26.667239904403687,,0.42175,0.66875,0.24699999999999994,0.0014851078006790086,1,0.44075,0.5235,332,66.00046748931089,0.11221795636986259,0.0023579834229344827,65.88589154951809,0.4894896759577214,0.007416457709742688
1.5,1.19,200,arc,0.14326584417436844,143.26584417436845,0.9999400468047135,True,1.0,3.5813438452880764e-06,0.19,ambiguous,0.15;0.15,0.07840204238891602,,0.42,0.675,0.25500000000000006,0.0013011141843168872,1,0.44,0.49,11,3.3894029836843225,1.0438620776841885,0.3371489242610307,2.0083919817391034,0.4969097991929762,0.14660688079433656
1.5,1.19,1000,arc,0.14325704579335535,143.25704579335536,0.9999594976703846,True,1.0,2.0561424749487855e-06,0.18,ambiguous,0.03;0.03,1.08144211769104,,0.422,0.681,0.25900000000000006,0.001477803604438277,1,0.444,0.493,50,16.936452930914896,0.38867278768233415,0.07035883621961023,16.47742130701295,0.5709827325983869,0.03371324178253084
1.5,1.19,4000,arc,0.1407748998252073,140.7748998252073,1.0000000555237167,True,1.0,1.2466002213876482e-08,0.18,ambiguous,0.26;0.46;0.28,24.566699028015137,,0.4215,0.68325,0.26175000000000004,0.0014852998747507673,1,0.45025,0.48925,157,64.0109503434011,22.555009167027034,8.474766868122673,32.9811743082514,0.6659371016118021,0.2583202717705919
1.5,1.15,200,arc,0.14319717041493613,143.19717041493612,0.9998821302388354,True,1.0,2.1557929468229986e-06,0.18,ambiguous,0.11;0.11,0.06945109367370605,,0.42,0.695,0.27499999999999997,0.001235528578092504,1,0.435,0.505,15,3.517460535507599,0.7987642395443664,0.13678350691957028,2.5819127890436624,0.3957994417396923,0.11252420254448572
1.5,1.15,1000,arc,0.14319312691486816,143.19312691486815,0.9999425085355023,True,1.0,0.00017768826810324277,0.18,ambiguous,0.03;0.05;0.03,1.0616297721862793,,0.421,0.702,0.28099999999999997,0.0014934876784447049,1,0.441,0.503,63,17.482283977922386,0.297657938340957,0.033527496630199355,17.151098542951228,0.5007743907959393,0.02864467774510158
1.5,1.15,4000,arc,0.1406699896668522,140.66998966685222,1.000000051463481,True,1.0,1.2765301049560765e-08,0.18,ambiguous,0.10;0.10,24.55983805656433,,0.42075,0.704,0.28324999999999995,0.0014923753963131947,1,0.444,0.52225,314,67.78889564758852,9.401616394860923,2.132758329890529,56.25452092283707,0.6190286176780372,0.09526050025934858
1.5,1.1,200,arc,0.1435988822852773,143.5988822852773,0.9998180974923816,True,1.0,5.982900369572164e-07,0.19,ambiguous,0.09;0.09,0.08263015747070312,,0.42,0.73,0.31,0.0014538120934781684,1,0.43,0.525,20,3.688260956460083,0.6303691650350951,0.04014202316956557,3.0177497682554217,0.34377495970384764,0.0932078732394781
1.5,1.1,1000,arc,0.14359643381641785,143.59643381641786,0.9999152907418629,True,1.0,2.3476925594678733e-06,0.18,ambiguous,0.02;0.02,0.8769867420196533,,0.42,0.734,0.314,0.001499712506860762,1,0.437,0.519,83,18.06931550646489,0.2308326590444278,0.006870256978524747,17.83161259044194,0.44076634315178037,0.02439308467407533
1.5,1.1,4000,arc,0.1410084448133493,141.00844481334929,1.0000000717462394,True,1.0,1.3331043397914341e-08,0.18,ambiguous,0.20;0.17,23.681376695632935,,0.42075,0.73575,0.315,0.0014882385706289636,1,0.5385,0.7015,653,71.9566365908546,2.5156212948855474,15.029791326163268,54.41122396980578,0.3806639741440744,0.16702974762392184
