N,seed,K,scp_success,scp_reason,scp_time,scp_iterations,scp_cost,scp_min_dist,scp_worst_violation,contact_success,contact_reason,contact_time,contact_contacts,contact_max_contacts_single_pair,contact_cost,contact_cost_continuous,contact_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_scp,n_crossings_contact,scp_error
2,0,200,True,converged,0.009730815887451172,0.0,0.5747767843126338,1.4374693663606912,0.0,True,converged,0.0001663750153966248,0,0,0.5747911530145488,0.5747635667211365,1.4374700070117168,8.442669218402846e-06,1.48048424830041e-05,True,0.0,0.0,
2,1,200,True,converged,0.008091211318969727,0.0,0.382089956141456,1.4076660118375983,0.0,True,converged,0.00013141700765118003,0,0,0.3820995079132644,0.3820811695844947,1.407665968237239,6.883557995077416e-06,1.1271548984356665e-05,True,0.0,0.0,
2,2,200,True,converged,0.19141292572021484,3.0,0.5570686414644347,0.5000000674558274,0.0,True,converged,0.001171583979157731,1,1,0.5571230229541633,0.5570960771892023,0.500280135389366,0.0026306593421566503,0.004299988797104395,True,1.0,1.0,
2,3,200,True,converged,0.008323907852172852,0.0,0.8592939238430428,4.646565459458382,0.0,True,converged,0.0001234589726664126,0,0,0.8593154051181839,0.8592741634832444,4.646565448442263,1.0322883719708783e-05,1.892765546841047e-05,True,1.0,1.0,
2,4,200,True,converged,0.008355140686035156,0.0,0.49927982824102335,2.4728552426100143,0.0,True,converged,0.00012650000280700624,0,0,0.4992923096133054,0.4992683467807545,2.472855247357064,7.868685272828337e-06,1.3325349161932992e-05,True,0.0,0.0,
2,5,200,True,converged,0.008407831192016602,0.0,0.9715475142267006,2.907262486167561,0.0,True,converged,0.00011195801198482513,0,0,0.9715718017014365,0.9715251724785403,2.90726245281144,1.0976457176720932e-05,1.9698308809071437e-05,True,0.0,0.0,
2,6,200,True,converged,0.008241891860961914,0.0,0.3781625285829455,2.011395368320579,0.0,True,converged,0.00010858301538974047,0,0,0.3781719821739681,0.3781538323412753,2.0113956448453743,6.848089246055454e-06,1.029091494317973e-05,True,0.0,0.0,
2,7,200,True,converged,0.008213043212890625,0.0,0.19072182012384847,5.000860280785463,0.0,True,converged,0.00013033300638198853,0,0,0.19072658793120773,0.19071743427672197,5.000860280785462,4.863292113494862e-06,7.3546643098336355e-06,True,0.0,0.0,
2,8,200,True,converged,0.0088958740234375,0.0,0.8709336860726082,1.2827963249709455,0.0,True,converged,0.00013295802637003362,0,0,0.8709554583272716,0.8709136580443405,1.282796504344943,1.0392564036332036e-05,1.6091821348296886e-05,True,0.0,0.0,
2,9,200,True,converged,0.009884834289550781,0.0,0.09957217011287577,3.686292598008278,0.0,True,converged,0.00014391698641702533,0,0,0.0995746592927982,0.09956988034699629,3.686292598008278,3.513978913859108e-06,6.2764635425623545e-06,True,0.0,0.0,
2,10,200,True,converged,0.05723309516906738,2.0,0.9526499501766688,0.4999999999999993,0.0,True,converged,0.000918291014386341,1,1,0.952674877754349,0.9526286562838806,0.5000133462442936,0.0007739566288769586,0.001268595313246188,True,1.0,1.0,
2,11,200,True,converged,0.05571579933166504,2.0,0.8530584083244125,0.5000001020028834,0.0,True,converged,0.0008854580228216946,1,1,0.8531280923331093,0.8530871580532687,0.5015877773783106,0.0005766388418518647,0.000944380894606046,True,1.0,1.0,
2,12,200,True,converged,0.008796215057373047,0.0,0.4035328329617192,2.743368401567649,0.0,True,converged,0.00011516601080074906,0,0,0.40354292077867343,0.4035235533034459,2.743368555622193,7.074074074036552e-06,1.0352298486454696e-05,True,0.0,0.0,
2,13,200,True,converged,0.009126901626586914,0.0,0.5503516877501009,2.033881279997483,0.0,True,converged,0.00012683402746915817,0,0,0.5503654458550994,0.5503390318391674,2.0338812538957005,8.261336577578643e-06,1.4058972340090534e-05,True,1.0,1.0,
2,14,200,True,converged,0.008690834045410156,0.0,0.4895966871329118,2.9889791051087586,0.0,True,converged,0.00016658302047289908,0,0,0.4896089264387565,0.4895854283465692,2.9889791107586987,7.792008186821251e-06,1.3406963432921493e-05,True,1.0,1.0,
2,15,200,True,converged,0.1609022617340088,3.0,0.5981337341487615,0.5000750948492658,0.0,True,converged,0.001849666005000472,1,1,0.5981524601766374,0.5981233734502356,0.500071163472322,0.0014770482815448529,0.0023758470033005174,True,1.0,1.0,
2,16,200,True,converged,0.008239269256591797,0.0,0.11995401950475644,3.740325833813717,0.0,True,converged,0.00013895801384933293,0,0,0.11995701820546395,0.11995126103699727,3.740325841070989,3.856892794912124e-06,6.613300761719745e-06,True,1.0,1.0,
2,17,200,True,converged,0.008181095123291016,0.0,1.0146676595223603,1.0485315849850567,0.0,True,converged,0.00012279200018383563,0,0,1.0146930249468868,1.014644326181496,1.0485315957899013,1.121739657722469e-05,1.8500483254330435e-05,True,1.0,1.0,
2,18,200,True,converged,0.034501075744628906,2.0,0.558312572504866,0.5000000119318422,0.0,True,converged,0.0007897919858805835,1,1,0.558334225467682,0.5583074295126318,0.5010157756139609,0.0005680906457819023,0.0009321490520334767,True,1.0,1.0,
2,19,200,True,converged,0.008926153182983398,0.0,0.6999596273280878,3.47797125093645,0.0,True,converged,0.00013579201186075807,0,0,0.6999771254447684,0.6999435310265819,3.4779712629000765,9.316797592340293e-06,1.4924572493206456e-05,True,0.0,0.0,
2,20,200,True,converged,0.008730888366699219,0.0,1.713735648125824,0.6554286816477298,0.0,True,converged,0.00013808399671688676,0,0,1.7137784893771768,1.7136962389876165,0.6554288184164198,1.4578138780168843e-05,2.1113931781986478e-05,True,1.0,1.0,
2,21,200,True,converged,0.00892329216003418,0.0,0.33030605850458916,2.2453038629900957,0.0,True,converged,0.00014845799887552857,0,0,0.3303143157436158,0.3302984627723504,2.245303865894002,6.400124683760866e-06,1.1376081551196982e-05,True,0.0,0.0,
2,22,200,True,converged,0.008951187133789062,0.0,0.20372118348652138,2.4732627742913174,0.0,True,converged,0.00011620900477282703,0,0,0.20372627626173304,0.20371649870547937,2.4732627742913182,5.026298307888168e-06,9.655769879193535e-06,True,0.0,0.0,
2,23,200,True,converged,0.008367776870727539,0.0,0.993846861189488,1.579104426025016,0.0,True,converged,0.0001446249953005463,0,0,0.9938717061200533,0.9938240066445913,1.5791044260250153,1.1101710554520818e-05,1.7410180607909112e-05,True,0.0,0.0,
2,24,200,True,converged,0.5979597568511963,3.0,0.8216748043161914,0.5000004368053806,0.0,True,converged,0.0009187080140691251,1,1,0.8217283915352835,0.8216836722412266,0.5000207191842266,0.007474033753847684,0.012030379147685606,True,1.0,1.0,
2,25,200,True,converged,0.009009122848510742,0.0,0.6908817899570395,1.1894979432807626,0.0,True,converged,0.00012474998948164284,0,0,0.6908990611391208,0.6908659024098697,1.1894980706912153,9.256185249906319e-06,1.320500762496031e-05,True,1.0,1.0,
2,26,200,True,converged,0.03894782066345215,2.0,1.1468262183998181,0.49999999999999956,0.0,True,converged,0.0009975419961847365,1,1,1.1468569319512425,1.146801855345236,0.5001403636612424,0.0005306530797601347,0.00086996407106706,True,1.0,1.0,
2,27,200,True,converged,0.008972883224487305,0.0,0.20430577769238034,7.224385357137072,0.0,True,converged,0.00012924999464303255,0,0,0.20431088508171688,0.20430107946798468,7.224385353800978,5.033504824096801e-06,9.39855776700722e-06,True,0.0,0.0,
2,28,200,True,converged,0.008952140808105469,0.0,0.06609322558000923,6.536120881892439,0.0,True,converged,0.00011150000500492752,0,0,0.06609487782812143,0.0660917056973688,6.536121002438568,2.8629162171282425e-06,4.838640408111944e-06,True,0.0,0.0,
2,29,200,True,converged,0.008777141571044922,0.0,1.2073003638991129,2.4396969038499896,0.0,True,converged,0.00012779099051840603,0,0,1.207330544900719,1.2072726007683459,2.439696945445539,1.2235953860172643e-05,1.9133794244530538e-05,True,0.0,0.0,
2,30,200,True,converged,0.10184693336486816,2.0,0.3436429561846572,0.4999999999999991,0.0,True,converged,0.001035250024870038,1,1,0.34365427356879186,0.3436377694283318,0.5001598296681629,0.00037549963509462376,0.000594680704697918,True,1.0,1.0,
2,31,200,True,converged,0.008978128433227539,0.0,0.3523650158825372,2.5750130473026114,0.0,True,converged,0.0001261669967789203,0,0,0.3523738245679555,0.3523569128815729,2.5750130473026083,6.610381992313501e-06,1.019798349005421e-05,True,0.0,0.0,
2,32,200,True,converged,0.00874018669128418,0.0,1.2256780611599585,4.0283464884314295,0.0,True,converged,0.00013262499123811722,0,0,1.2257087015810475,1.2256498754148786,4.028346527344668,1.2328730840129039e-05,2.310542169197296e-05,True,1.0,1.0,
2,33,200,True,converged,0.05539822578430176,2.0,0.9157423374778828,0.499999999999999,0.0,True,converged,0.0007770409865770489,1,1,0.9157666746871955,0.9157222487837684,0.5000173014991796,0.0009708332093341549,0.0015891067830982593,True,1.0,1.0,
2,34,200,True,converged,0.00820302963256836,0.0,0.3948520589655159,1.4853876908817472,0.0,True,converged,0.00010391601244919002,0,0,0.3948619297739592,0.3948429789306922,1.4853881395031183,6.997571881984319e-06,1.365349425119914e-05,True,0.0,0.0,
2,35,200,True,converged,0.007892847061157227,0.0,0.4939510438971622,0.6253610667535973,0.0,True,converged,0.00013000000035390258,0,0,0.493963392056489,0.4939396849778455,0.6253611538689875,7.826581620943015e-06,1.197995986669802e-05,True,1.0,1.0,
2,36,200,True,converged,0.007748126983642578,0.0,0.15207333192632208,4.025354084290707,0.0,True,converged,0.0001112080062739551,0,0,0.15207713356973437,0.15206983484148165,4.025354102083274,4.342668671103722e-06,7.262460454438869e-06,True,1.0,1.0,
2,37,200,True,converged,0.00802302360534668,0.0,0.5605963130610341,4.8755888909588965,0.0,True,converged,0.00014262498007155955,0,0,0.5606103272688736,0.5605834215642593,4.875588880397803,8.337873148000725e-06,1.547964082546783e-05,True,1.0,1.0,
2,38,200,True,converged,0.007996320724487305,0.0,0.7753414478853506,5.3755173618398935,0.0,True,converged,0.00011233400437049568,0,0,0.7753608304534203,0.7753236181002778,5.375517286182542,9.80565627102468e-06,1.4510327833837991e-05,True,0.0,0.0,
2,39,200,True,converged,0.007883071899414062,0.0,0.29889489892136534,2.3081790141584535,0.0,True,converged,0.00010820900206454098,0,0,0.2989023709206242,0.2988880255214952,2.308179021338174,6.088207090524478e-06,1.1354133391184737e-05,True,1.0,1.0,
2,40,200,True,converged,0.007813215255737305,0.0,0.32542560749631416,1.9395402406405835,0.0,True,converged,0.00010962499072775245,0,0,0.3254337427301595,0.3254181239951353,1.939540262803421,6.352666068941635e-06,1.1880490389680816e-05,True,1.0,1.0,
2,41,200,True,converged,0.007934093475341797,0.0,0.4440394990901393,1.0067978282970012,0.0,True,converged,0.00010841700714081526,0,0,0.4440505995231674,0.4440292879388397,1.0067978180818062,7.420633232334906e-06,1.2334385964063018e-05,True,0.0,0.0,
2,42,200,True,converged,0.008013725280761719,0.0,0.9248647811748221,3.244901204468269,0.0,True,converged,0.00010299999848939478,0,0,0.9248879016395222,0.9248435129447865,3.2449012160108124,1.070950223566317e-05,1.7543817612928873e-05,True,0.0,0.0,
2,43,200,True,converged,0.007955074310302734,0.0,0.7845281556702597,1.4929075091420954,0.0,True,converged,0.00015837501268833876,0,0,0.7845477678945524,0.7845101146272614,1.492907748222392,9.863576838864586e-06,1.4673399795072009e-05,True,1.0,1.0,
2,44,200,True,converged,0.008020877838134766,0.0,0.731357824757753,1.0391206146754006,0.0,True,converged,9.499999578110874e-05,0,0,0.7313761077901636,0.7313410064219565,1.0391206146754006,9.523467872986094e-06,1.330918914115528e-05,True,0.0,0.0,
2,45,200,True,converged,0.00795125961303711,0.0,0.6656294596595679,0.6497366657897815,0.0,True,converged,0.00012133299605920911,0,0,0.6656460995649232,0.6656141528160651,0.6497368454714465,9.085449784421834e-06,1.701940050314093e-05,True,1.0,1.0,
2,46,200,True,converged,0.007992029190063477,0.0,1.192051182361539,2.9437613975237835,0.0,True,converged,0.00013174998457543552,0,0,1.1920809821526466,1.1920237699016016,2.9437612584945168,1.215843329142689e-05,2.1139319141875408e-05,True,1.0,1.0,
2,47,200,True,converged,0.007709980010986328,0.0,1.0032987418185126,1.4100566831545742,0.0,True,converged,0.00010779098374769092,0,0,1.0033238230342914,1.0032756699177647,1.4100563633997327,1.1154376483259819e-05,2.164962262109371e-05,True,0.0,0.0,
2,48,200,True,converged,0.00807499885559082,0.0,0.7316299197488204,0.6267963137315761,0.0,True,converged,0.00011912500485777855,0,0,0.7316482095832666,0.7316130951559165,0.626796274418561,9.525239267588545e-06,1.4170121873364766e-05,True,1.0,1.0,
2,49,200,True,converged,0.007976770401000977,0.0,0.9294596885185972,1.1876254214637907,0.0,True,converged,0.00010558299254626036,0,0,0.9294829238502431,0.9294383146238754,1.1876254242922406,1.0736072715626145e-05,1.5825781322471333e-05,True,1.0,1.0,
