N,seed,K,prio_scp_success,prio_scp_reason,prio_scp_time,prio_scp_iterations_total,prio_scp_iterations_per_rank,prio_scp_time_per_rank,prio_scp_rank_reasons,prio_scp_cost,prio_scp_min_dist,prio_sci_success,prio_sci_reason,prio_sci_time,prio_sci_contacts,prio_sci_contacts_per_rank,prio_sci_time_per_rank,prio_sci_cost,prio_sci_cost_continuous,prio_sci_min_dist,position_rmse,max_position_deviation,same_homotopy_class,n_crossings_prio_scp,n_crossings_prio_sci
2,0,200,True,converged,0.06800170795759186,1,"[0, 1]","[0.02066562499385327, 0.045301167003344744]","[""converged"", ""converged""]",0.5747767843134114,1.4374693663606894,True,converged,0.011972833017352968,0,"[0, 0]","[2.345896791666746e-05, 0.0009607080137357116]",0.5802634731247834,0.5747635667211364,1.4370811041632126,0.01694404906151547,0.032695502423250804,True,0.0,0.0
2,1,200,True,converged,0.06330654094927013,1,"[0, 1]","[0.018093209015205503, 0.04374824999831617]","[""converged"", ""converged""]",0.38208995614197294,1.4076660118375983,True,converged,0.012093166005797684,0,"[0, 0]","[2.0292005501687527e-05, 0.001096333027817309]",0.3857373001971197,0.3820811695844947,1.4076654622160445,0.01381498449896395,0.024892460526355083,True,0.0,0.0
2,2,200,True,converged,0.478637250023894,3,"[0, 3]","[0.0178254580241628, 0.4593235829961486]","[""converged"", ""converged""]",0.5709990248684943,0.5000000674558286,True,converged,0.014439416991081089,1,"[0, 1]","[1.9167026039212942e-05, 0.003304749960079789]",0.6720563150853407,0.6619422704732083,0.5000637212106862,0.2632960751396382,0.6054789977128885,True,1.0,1.0
2,3,200,True,converged,0.06357825000304729,1,"[0, 1]","[0.017711542022880167, 0.04437112499726936]","[""converged"", ""converged""]",0.8592939238442049,4.646565459458384,True,converged,0.012218874995596707,0,"[0, 0]","[1.850002445280552e-05, 0.001223375031258911]",0.8674965487349574,0.8592741634832443,4.646565592713187,0.02071755314309215,0.04180045859669648,True,1.0,1.0
2,4,200,True,converged,0.0630807499983348,1,"[0, 1]","[0.017506415955722332, 0.04408908303594217]","[""converged"", ""converged""]",0.49927982824169853,2.472855242610014,True,converged,0.012356457998976111,0,"[0, 0]","[1.4000048395246267e-05, 0.0012924170005135238]",0.5040458402347368,0.4992683467807545,2.4729477959350548,0.015792089665072496,0.02942814057853621,True,0.0,0.0
2,5,200,True,converged,0.06398279196582735,1,"[0, 1]","[0.017494167026598006, 0.04496216698316857]","[""converged"", ""converged""]",0.9715475142280143,2.9072624861675602,True,converged,0.012324165960308164,0,"[0, 0]","[1.6790989320725203e-05, 0.001258250034879893]",0.980821686431053,0.9715251724785408,2.9071333825491723,0.022029245029388123,0.043502394849568776,True,0.0,0.0
2,6,200,True,converged,0.0654940830427222,1,"[0, 1]","[0.017214666004292667, 0.04673362500034273]","[""converged"", ""converged""]",0.3781625285834561,2.0113953683205783,True,converged,0.013555124984122813,0,"[0, 0]","[2.7125002816319466e-05, 0.0012818750110454857]",0.381772382305954,0.37815383234127525,2.011227818118225,0.013743800349358863,0.022726795967614313,True,0.0,0.0
2,7,200,True,converged,0.06988270801957697,1,"[0, 1]","[0.019889500050339848, 0.04839258297579363]","[""converged"", ""converged""]",0.19072182012410677,5.00086028078546,True,converged,0.0124460409861058,0,"[0, 0]","[1.491600414738059e-05, 0.0012867500190623105]",0.19254240735921832,0.19071743427672197,5.000860280785461,0.009760403735204268,0.016242283229864173,True,0.0,0.0
2,8,200,True,converged,0.06360366597073153,1,"[0, 1]","[0.017838000028859824, 0.04423433303600177]","[""converged"", ""converged""]",0.8709336860737862,1.2827963249709449,True,converged,0.012410208000801504,0,"[0, 0]","[1.708301715552807e-05, 0.0012115839635953307]",0.8792474214946352,0.8709136580443403,1.282687617257311,0.02085739833525989,0.03553770899123234,True,0.0,0.0
2,9,200,True,converged,0.06340958300279453,1,"[0, 1]","[0.01795100001618266, 0.043924291036091745]","[""converged"", ""converged""]",0.09957217011301049,3.6862925980082775,True,converged,0.012382459011860192,0,"[0, 0]","[1.637497916817665e-05, 0.0013956670300103724]",0.10052266346380873,0.09956988034699628,3.6862925980082775,0.007052394162931247,0.013861149095646891,True,0.0,0.0
